Tipo de Rede;Tipo de Monitoramento;Tipo;Data;Hora;Código Estação;Nome Estação;Parâmetro;Unidade Medida;Valor;Média Móvel;Válido;Dt. Amostragem;Dt. Instalação;Dt. Retirada;Concentração;Taxa;DataHora
A;CETESB;Dados Primários;05/01/2019;08:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;42;-;Sim;-;-;-;-;-;05/01/2019 08:00
A;CETESB;Dados Primários;05/01/2019;09:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;35;-;Sim;-;-;-;-;-;05/01/2019 09:00
A;CETESB;Dados Primários;05/01/2019;10:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;37;-;Sim;-;-;-;-;-;05/01/2019 10:00
A;CETESB;Dados Primários;05/01/2019;11:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;39;-;Sim;-;-;-;-;-;05/01/2019 11:00
A;CETESB;Dados Primários;05/01/2019;12:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;39;-;Sim;-;-;-;-;-;05/01/2019 12:00
A;CETESB;Dados Primários;05/01/2019;13:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;45;-;Sim;-;-;-;-;-;05/01/2019 13:00
A;CETESB;Dados Primários;05/01/2019;14:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;57;-;Sim;-;-;-;-;-;05/01/2019 14:00
A;CETESB;Dados Primários;05/01/2019;15:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;58;-;Sim;-;-;-;-;-;05/01/2019 15:00
A;CETESB;Dados Primários;05/01/2019;16:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;53;-;Sim;-;-;-;-;-;05/01/2019 16:00
A;CETESB;Dados Primários;05/01/2019;17:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;44;-;Sim;-;-;-;-;-;05/01/2019 17:00
A;CETESB;Dados Primários;05/01/2019;18:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;45;-;Sim;-;-;-;-;-;05/01/2019 18:00
A;CETESB;Dados Primários;05/01/2019;19:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;50;-;Sim;-;-;-;-;-;05/01/2019 19:00
A;CETESB;Dados Primários;05/01/2019;20:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;40;-;Sim;-;-;-;-;-;05/01/2019 20:00
A;CETESB;Dados Primários;05/01/2019;21:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;39;-;Sim;-;-;-;-;-;05/01/2019 21:00
A;CETESB;Dados Primários;05/01/2019;22:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;32;-;Sim;-;-;-;-;-;05/01/2019 22:00
A;CETESB;Dados Primários;05/01/2019;23:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;41;-;Sim;-;-;-;-;-;05/01/2019 23:00
A;CETESB;Dados Primários;05/01/2019;24:00:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;25;-;Sim;-;-;-;-;-;05/01/2019 00:00
A;CETESB;Dados Primários;06/01/2019;01:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;39;-;Sim;-;-;-;-;-;06/01/2019 01:00
